INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1781.003.UDP0271_i7---UDP0271_i5.LC37.realigned.bam,5222031,5783781.4,7971228,-0.25681,LillyCanyon
NS.1781.003.UDP0273_i7---UDP0273_i5.BdC27.realigned.bam,3950576,3695487.9,5131671,0.17762,LillyCanyon
NS.1781.003.UDP0274_i7---UDP0274_i5.BdC28.realigned.bam,5104126,5964292.2,8213993,-0.38235,LillyCanyon
NS.1781.003.UDP0275_i7---UDP0275_i5.BdC29.realigned.bam,5221804,5811205.7,8008091,-0.26829,LillyCanyon
NS.1781.003.UDP0276_i7---UDP0276_i5.BdC30.realigned.bam,5142247,5944824.1,8187823,-0.35781,LillyCanyon
NS.1781.003.UDP0277_i7---UDP0277_i5.BdC16.realigned.bam,5158552,5872993.8,8091236,-0.32208,LillyCanyon
NS.1781.003.UDP0278_i7---UDP0278_i5.3N_1.realigned.bam,5250380,5626173.1,7757766,-0.1763,CMA 3N200
NS.1781.003.UDP0279_i7---UDP0279_i5.3N_2.realigned.bam,5250897,5867317.1,8082947,-0.27821,CMA 3N200
NS.1781.003.UDP0280_i7---UDP0280_i5.3N_3.realigned.bam,5198369,5454760.9,7526250,-0.12377,CMA 3N200
NS.1781.003.UDP0281_i7---UDP0281_i5.3N_9.realigned.bam,5280588,5657589.9,7799825,-0.17599,CMA 3N200
NS.1781.003.UDP0282_i7---UDP0282_i5.3N_10.realigned.bam,4635911,4498140.9,6225214,0.07977,CMA 3N200
NS.1781.003.UDP0283_i7---UDP0283_i5.3N_11.realigned.bam,5176173,5466527.7,7543827,-0.13978,CMA 3N200
NS.1781.003.UDP0284_i7---UDP0284_i5.3N_12.realigned.bam,5226970,5785778.6,7973653,-0.25541,CMA 3N200
NS.1781.003.UDP0285_i7---UDP0285_i5.3N_13.realigned.bam,5234843,5630564.9,7763906,-0.18549,CMA 3N200
NS.1781.003.UDP0286_i7---UDP0286_i5.3N_14.realigned.bam,5216774,5865498.9,8080742,-0.29285,CMA 3N200
NS.1781.003.UDP0287_i7---UDP0287_i5.3N_15.realigned.bam,5241530,5718617.6,7883242,-0.2204,CMA 3N200
NS.1781.004.UDP0097_i7---UDP0097_i5.CPS_1.realigned.bam,5096854,5211086.1,7196153,-0.05755,NAFO 3L
NS.1781.004.UDP0098_i7---UDP0098_i5.CPS_2.realigned.bam,5218612,5745178.9,7919190,-0.24221,NAFO 3L
NS.1781.004.UDP0099_i7---UDP0099_i5.CPS_3.realigned.bam,5184835,5426239.2,7488412,-0.11706,NAFO 3L
