IID	Sample_ID	Poolseq_ID_2020	Population	Location	Sex	Latitude	Longitude	Date collected	gDNA plate ID	UD_i7.x	UD_i5.x	Depth.x	Location.x	PCadapt1	PCadapt2	PCadapt3	PCadapt4	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NS.1794.004.UDP0183_i7---UDP0183_i5.WCB_F_47.realigned.bam	WCB_F_47		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0183_i7	UDP0183_i5		Maritimes	0.00296395568905333	-0.062084833295264	0.025695459852282	0.00279757376665798	-0.0136180565928695	0.00752825588171857	-0.0726678452721514	0.0286586148377914	0.00971097384589251	-0.0133425935072871	0.00333002074681654	-0.0248943136664995	0.0205583760881564	-0.020694741248107
NS.1794.004.UDP0184_i7---UDP0184_i5.WCB_F_48.realigned.bam	WCB_F_48		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0184_i7	UDP0184_i5		Maritimes	-0.0128014437203104	-0.095726681799046	0.0179670675774044	-0.00122363179886999	-0.0261175202458898	0.00121862337967006	-0.102050556378618	0.0147156246065956	0.0253689297294805	0.0169954327740495	-0.00129699063591822	0.00652769807404829	-0.00449022546411185	0.00863427865991863
NS.1794.004.UDP0185_i7---UDP0185_i5.WCB_F_49.realigned.bam	WCB_F_49		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0185_i7	UDP0185_i5		Maritimes	0.0463254313472715	-0.0686834745263837	0.0233546195086893	0.0109231410599949	0.0244884163367003	0.00729509744520783	-0.0765312378354189	-0.0219539147928791	0.0161120727479338	-0.0133397798441196	-0.0261981477913774	-0.0788934157795922	0.00781221295785774	-0.03544304398883
NS.1794.004.UDP0186_i7---UDP0186_i5.WCB_F_50.realigned.bam	WCB_F_50		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0186_i7	UDP0186_i5		Maritimes	0.0123364524764207	-0.0121482775905265	0.0168487493198985	-0.00158390250092	0.00436956453915275	0.0127963431679438	-0.0264711090987444	-0.00718393531601084	-0.0186156657792227	0.0217724601267599	0.0021737863749585	0.0068915768171966	-0.00212466635825845	0.00805130229484414
NS.1794.004.UDP0187_i7---UDP0187_i5.WCB_F_51.realigned.bam	WCB_F_51		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0187_i7	UDP0187_i5		Maritimes	0.0270522957929596	-0.0683672916061323	-0.00139233543883313	0.000421264819167526	0.00961506987485919	-0.036619986956467	-0.0625049302320165	-0.0156614638245354	-0.00496146559668787	0.0357149921935179	0.00442892820642797	-0.008424117403509	-0.0164511815862844	0.00579966373624027
NS.1794.004.UDP0188_i7---UDP0188_i5.WCB_F_52.realigned.bam	WCB_F_52		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0188_i7	UDP0188_i5		Maritimes	-0.055238994090671	-0.0595265116448338	0.0137059695507091	0.00927473475589248	-0.0520725041830917	0.00448412554379058	-0.0535268603543306	0.0105230597771889	0.0300725870614687	-0.00215930442868415	-0.00335045985194979	-0.0334769109023943	0.0095095720576947	-0.0389501142726859
NS.1794.004.UDP0189_i7---UDP0189_i5.WCB_F_53.realigned.bam	WCB_F_53		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0189_i7	UDP0189_i5		Maritimes	0.0439387619082714	-0.0693990816736808	-0.013845734078279	0.00541462974079832	0.0265916647172982	-0.0514864985330825	-0.0675673479461061	0.0042786014796761	-0.0052472771529022	0.0176719762777859	-0.0157351912834966	-0.00282007571657529	0.0227051621774875	-0.0335977888677899
NS.1794.004.UDP0190_i7---UDP0190_i5.WCB_F_54.realigned.bam	WCB_F_54		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0190_i7	UDP0190_i5		Maritimes	0.0126005934970431	-0.0250961424722436	-0.0280079979572916	-0.0394483398014232	0.00421012603069786	-0.0389695806814612	-0.0140336315269489	-0.0497102089921799	0.00549510267657114	-0.0502140544717353	-0.0695530392270556	-0.0448101234453496	0.00258690009351141	-0.0210019582705527
NS.1794.004.UDP0191_i7---UDP0191_i5.WCB_F_55.realigned.bam	WCB_F_55		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0191_i7	UDP0191_i5		Maritimes	0.0558698670610026	-0.0355072333553582	0.0100283419798485	0.0244576093135468	0.0323905883099842	0.0167839141581641	-0.0358698876613942	-0.0127917141062191	-0.0386087019863165	0.0362593282064959	0.0223909071233425	0.0128679385358926	0.0171165417833241	-0.0134207214284158
NS.1798.004.UDP0025_i7---UDP0025_i5.D039.realigned.bam	D039		Maritime D	Maritimes		44.45767	-60.865	2020		UDP0025_i7	UDP0025_i5		Maritimes	0.0253336559504342	0.00981292888976034	0.0119026154919921	0.0181984828350552	-0.0255066198525639	-0.0369524005767847	0.00226836113237414	0.00316873651915081	-0.000599986186686139	-0.0248614777204688	-0.0509313425404111	0.0757226917223079	0.0277243185934971	-0.0175508770513864
