Missing data from input file 30kSNPs_genepop_mod.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
       3           59           000000           730
       4            1           000000          3904
       5           80           000000          1620
       6           11           000000          2875
       7            8           000000          1268
       8            1           000000          4220
       9            1           000000          5871
      10          112           000000          1189
      11           11           000000          2464
      12            2           000000          7698
      13           44           000000          4219
      14           47           000000          1762
      15            1           000000          5529
      16           45           000000          2058
      17            2           000000          2385
      18            7           000000          3694
      19           15           000000          7205
      20            5           000000          6111
      21           28           000000          4135
      22           40           000000          4434
      23           28           000000          7013
      24           40           000000          4368
      25           11           000000          5608
      26           10           000000          2546
      27           18           000000          8479
      28           13           000000          5405
      29           10           000000          2510
      30           40           000000          4277
      31           28           000000          2373
-----------------------------------------------------------
Total missing data for population   23:       124007

Population 24 [NS.1794.002.UDP0152_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           29           000000          1491
       2           18           000000          2240
       3            2           000000          5554
       4           22           000000          3169
       5           10           000000          5151
       6            3           000000          6129
       7           11           000000          7617
       8           44           000000          3995
       9           40           000000          2352
      10            4           000000          3081
      11           11           000000          6442
      12            4           000000          2857
      13           51           000000          3259
      14           26           000000          1911
      15           10           000000          2265
      16           52           000000          2195
      17            8           000000          2598
      18           77           000000          1671
      19           12           000000          2982
      20           48           000000          2274
      21            4           000000          1775
      22            3           000000          1939
      23            2           000000          3601
      24            3           000000          3408
      25           33           000000          2241
      26           31           000000          1496
      27            4           000000          5346
      28           49           000000          2699
      29           41           000000          1157
      30           75           000000          1874
      31           29           000000          2316
      32           61           000000          2399
      33           37           000000          3217
      34            8           000000          1106
      35           10           000000          2139
-----------------------------------------------------------
Total missing data for population   24:       105946

Population 25 [NS.1794.002.UDP0187_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            2           000000          2867
       2          114           000000           751
       3           75           000000          1066
       4            4           000000          1716
       5           40           000000          1301
       6           31           000000          1675
       7            6           000000          1350
       8           45           000000          1542
       9           10           000000          2001
      10           47           000000          1490
      11           57           000000          1747
      12            3           000000          1284
      13           64           000000          1344
      14           10           000000          1183
      15            7           000000          2271
      16           12           000000          1409
      17           28           000000          1919
      18           47           000000          1639
      19           83           000000           920
      20           29           000000          1290
      21           38           000000          1937
      22           47           000000          1489
      23            6           000000          3988
      24           42           000000          1238
      25           38           000000          2852
      26            6           000000          1662
      27            7           000000          2087
      28           58           000000          2073
      29            8           000000          2653
      30           29           000000          1306
      31           44           000000          1376
      32           78           000000          1052
      33           38           000000          2195
      34           48           000000          2484
      35           33           000000          1855
-----------------------------------------------------------
Total missing data for population   25:        61012

Population 26 [NS.1794.003.UDP0127_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           77           000000          1522
       2           28           000000          2569
       3            3           000000          2980
       4           52           000000           767
       5           41           000000          1154
       6           74           000000          1419
       7           31           000000          1158
       8           83           000000          1206
       9           31           000000          1084
      10           29           000000          1113
      11           44           000000          1305
      12           38           000000           969
      13           81           000000          1916
      14           61           000000          1140
      15           31           000000          1680
      16           11           000000           737
      17           40           000000          3227
      18           63           000000          1001
      19           45           000000          1778
      20            3           000000          3631
      21           37           000000          2749
      22           45           000000          2170
      23           41           000000           657
      24           83           000000           264
      25           48           000000          1076
      26          181           000000           490
      27          116           000000           750
      28           37           000000          1629
      29           48           000000           879
      30           75           000000           565
      31           42           000000          1703
      32          145           000000           450
      33           85           000000          2765
-----------------------------------------------------------
Total missing data for population   26:        48503

Population 27 [NS.1794.003.UDP0162_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            3           000000          1596
       2           28           000000          1575
       3           11           000000          1039
       4            6           000000          4925
       5           46           000000          1780
       6           28           000000          1026
       7          176           000000          1073
       8           29           000000          1602
       9           59           000000           726
      10            3           000000          4242
      11           41           000000          3034
      12           38           000000           789
      13           60           000000           633
      14           48           000000           770
      15          119           000000           618
      16           63           000000          1079
      17           61           000000          1839
      18           48           000000           980
      19           31           000000           686
      20           28           000000          3428
      21            7           000000          4055
      22           82           000000          1465
      23          117           000000           452
      24           47           000000          1615
      25           43           000000          1708
      26            3           000000          1317
      27           28           000000           967
      28           52           000000          1844
      29           61           000000          1476
      30           28           000000          1071
      31            3           000000          1649
      32           42           000000          1179
      33           58           000000           700
      34          113           000000           400
      35           48           000000           623
-----------------------------------------------------------
Total missing data for population   27:        53961

Population 28 [NS.1794.004.UDP0102_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
