Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
      12            4           000000           148
      13            8           000000            35
      14            8           000000            57
      15           17           000000           289
      16          161           000000            42
      17           17           000000            19
      18          238           000000            24
      19            8           000000            39
      20            8           000000           190
      21            4           000000           126
      22           17           000000            47
      23           14           000000            62
      24            5           000000           125
      25           11           000000            66
      26            4           000000           197
      27            4           000000           186
      28            4           000000           541
      29          123           000000            40
      30          471           000000            12
      31           31           000000            53
      32            8           000000           151
      33           85           000000            29
-----------------------------------------------------------
Total missing data for population   13:         3023

Population 14 [NS.1781.003.UDP0278_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            9           000000            85
       2          127           000000            27
       3           30           000000           114
       4            8           000000            79
       5            5           000000           379
       6            5           000000           105
       7          142           000000            37
       8            5           000000            83
       9            2           000000            33
      10           38           000000            70
      11           31           000000            43
      12           30           000000            32
      13           69           000000            31
      14          240           000000            21
      15           36           000000            33
      16           42           000000            18
      17            9           000000            68
      18           33           000000            49
      19            8           000000            74
      20           36           000000            47
      21            4           000000           163
      22           14           000000           114
      23            4           000000           204
      24           11           000000            72
      25           18           000000           210
-----------------------------------------------------------
Total missing data for population   14:         2191

Population 15 [NS.1781.004.UDP0097_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4           000000           175
       2           28           000000            53
       3           30           000000           119
       4           11           000000           174
       5           17           000000            17
       6          107           000000            20
       7            4           000000            43
       8           57           000000            17
       9            2           000000           131
      10           17           000000            47
      11           11           000000            83
      12           11           000000           126
      13           84           000000            35
      14          161           000000            33
      15           68           000000            35
      16          127           000000            30
      17           21           000000            56
      18           11           000000            88
      19            5           000000            53
      20            8           000000            55
      21          141           000000            17
      22            1           000000           285
      23            5           000000           101
      24          218           000000            22
      25            4           000000            59
      26           31           000000           110
      27            8           000000            52
      28           11           000000            35
